ski_area,state_full,lat,long,website,year_opened,remove
Timber Ridge Ski Area,Michigan,42.39203647,-85.7807993,www.timberridgeski.com,1961,
Timberline Lodge & Ski Area,Oregon,45.33174658,-121.711457,www.timberlinelodge.com,1937,
Timberline Mountain,West Virginia,39.04320295,-79.39905146,www.timberlinemountain.com,1983,
"Titus Mountain Family Ski Center, LLC",New York,44.76532773,-74.23355778,www.titusmountain.com,1960,
Treetops Resort,Michigan,45.03372685,-84.58917031,www.treetops.com,1954,
Trollhaugen Winter Recreation Area,Wisconsin,45.35196432,-92.61798621,www.trollhaugen.com,1950,
Tussey Mountain Ski Area,Pennsylvania,40.76990078,-77.75395326,www.tusseymountain.com,1981,
Tyrol Basin Ski & Snowboard Area,Wisconsin,43.04520281,-89.78400151,www.tyrolbasin.com,1958,
Utah Olympic Park,Utah,40.71247199,-111.5617804,www.utaholympiclegacy.org,1993,
Vail Mountain,Colorado,39.60675608,-106.3548644,www.vail.com,1962,
Victor Constant Ski Area,New York,41.39659044,-73.98371339,https://westpoint.armymwr.com/programs/victor-constant-ski-area,1939,
Villa Olivia Ski Area,Illinois,42.01347866,-88.22018146,www.villaolivia.com,1966,
Wachusett Mountain Ski Area,Massachusetts,42.5035941,-71.88615231,www.wachusett.com,1962,
Waterville Valley Resort,New Hampshire,43.9665056,-71.52786558,www.waterville.com,1966,
"Welch Village Ski Area, Inc.",Minnesota,44.56066801,-92.73028799,www.welchvillage.com,1965,
White Pass Ski Area,Washington,46.63810448,-121.391216,www.skiwhitepass.com,1952,
White Pine Ski Area,Wyoming,42.97858724,-109.7586382,www.whitepineski.com,1939,
Whitecap Mountains Resort,Wisconsin,46.40751223,-90.39695624,www.whitecapresort.com,1964,
Whiteface Mountain,New York,44.36689093,-73.90268864,www.whiteface.com,1958,
Whitefish Mountain Resort,Montana,48.48102498,-114.3501276,www.skiwhitefish.com,1947,
Whitetail Resort,Pennsylvania,"39.74247467602922,",-77.93324823,www.skiwhitetail.com,1991,
Wild Mountain,Minnesota,45.48940048,-92.70519891,www.wildmountain.com,1972,
Wildcat Mountain,New Hampshire,44.26482535,-71.23962547,www.skiwildcat.com,1933,
Willamette Pass Resort,Oregon,43.60072217,-122.0365615,www.willamettepass.com,1941,
Wilmot Mountain,Wisconsin,42.49954016,-88.18746708,www.wilmotmountain.com,1938,
Windham Mountain,New York,42.29515829,-74.25649702,windhammountain.com,1960,
Winter Park Resort,Colorado,39.88478105,-105.7627241,www.winterparkresort.com,1940,
Wintergreen Resort,Virginia,37.91557792,-78.94385874,www.wintergreenresort.com,1975,
Winterplace Ski Resort,West Virginia,37.59647637,-81.11986161,www.winterplace.com,1983,
Wisp Resort,Maryland,39.55761216,-79.36325348,www.wispresort.com,1956,
Wolf Ridge Ski Resort,North Carolina,35.95555073,-82.50856875,www.skiwolfridgenc.com,1969,
Woods Valley Ski Area,New York,43.30266431,-75.38242474,www.woodsvalleyskiarea.com,1964,
Woodward Park City,Utah,40.75521194,-111.5855327,woodwardparkcity.com,2019,
